date,module,actual_avg_balances,required_reserves,required_reserves_accounts,spread,ruonia,MAD_score_spread,MAD_score_RUONIA,Flag_EndOfPeriod,M1_signal
2004-09-01,M1_reserves,195.45666666666665,8.7,116.0,186.75666666666666,,,,1,0.0
2004-10-01,M1_reserves,231.54032258064515,9.1,117.3,222.44032258064516,,,,1,0.0
2004-11-01,M1_reserves,282.4883333333334,11.5,118.9,270.9883333333334,,,,1,0.0
2004-12-01,M1_reserves,368.2596774193548,12.0,121.7,356.2596774193548,,,,1,0.0
2005-01-01,M1_reserves,356.6758064516129,12.7,171.6,343.9758064516129,,,,1,0.0
2005-02-01,M1_reserves,265.6303571428571,13.2,129.1,252.43035714285713,,,,1,0.0
2005-03-01,M1_reserves,286.12580645161296,13.4,133.2,272.725806451613,,,,1,0.0
2005-04-01,M1_reserves,258.43000000000006,12.9,134.4,245.53000000000006,,,,1,0.0
2005-05-01,M1_reserves,239.0129032258064,14.4,135.1,224.6129032258064,,,,1,0.0
2005-06-01,M1_reserves,242.8233333333333,15.1,137.2,227.7233333333333,,,,1,0.0
2005-07-01,M1_reserves,246.86612903225807,15.8,142.0,231.06612903225806,,,,1,0.0
2005-08-01,M1_reserves,267.33225806451617,16.3,144.7,251.03225806451616,,0.11864597377875487,,1,0.07118758426725291
2005-09-01,M1_reserves,297.8116666666666,16.8,150.0,281.0116666666666,,1.286177245321135,,1,0.771706347192681
2005-10-01,M1_reserves,317.6854838709677,16.9,154.6,300.7854838709677,,1.9189380341130766,,1,1.1513628204678459
2005-11-01,M1_reserves,274.835,16.5,159.8,258.335,,0.23898640737403506,,1,0.14339184442442104
2005-12-01,M1_reserves,366.5193548387097,17.9,161.3,348.61935483870974,,3.49932791795382,,1,2.099596750772292
2006-01-01,M1_reserves,399.04193548387104,19.2,171.6,379.84193548387105,,3.969301534835445,,1,2.381580920901267
2006-02-01,M1_reserves,326.2678571428572,19.2,168.3,307.06785714285724,,1.1608251376161467,,1,0.696495082569688
2006-03-01,M1_reserves,325.8451612903226,19.5,172.1,306.3451612903226,,0.9799693627790105,,1,0.5879816176674063
2006-04-01,M1_reserves,323.41666666666663,20.2,176.1,303.21666666666664,,0.8998594348257357,,1,0.5399156608954414
2006-05-01,M1_reserves,353.9483870967741,20.7,183.1,333.24838709677414,,1.7623461449432842,,1,1.0574076869659705
2006-06-01,M1_reserves,365.7316666666666,21.6,190.2,344.1316666666666,,1.743887947623026,,1,1.0463327685738155
2006-07-01,M1_reserves,388.3499999999999,22.5,193.9,365.8499999999999,,1.6986168805376196,,1,1.0191701283225718
2006-08-01,M1_reserves,357.31935483870967,23.7,204.2,333.6193548387097,,0.9699419333496926,,1,0.5819651600098156
2006-09-01,M1_reserves,356.32666666666665,23.9,205.8,332.4266666666667,,0.7299646878903169,,1,0.4379788127341901
2006-10-01,M1_reserves,359.7225806451612,38.0,207.2,321.7225806451612,,0.4597266104280044,,1,0.2758359662568026
2006-11-01,M1_reserves,337.5816666666668,40.3,212.7,297.2816666666668,,-0.08112505290412114,,1,0.0
2006-12-01,M1_reserves,492.6870967741936,43.2,221.1,449.4870967741936,,3.438036167031582,,1,2.062821700218949
2007-01-01,M1_reserves,506.716129032258,46.5,229.4,460.216129032258,,3.4980755846616964,,1,2.098845350797018
2007-02-01,M1_reserves,405.04642857142863,71.2,210.5,333.84642857142865,,0.6987810159748222,,1,0.4192686095848933
2007-03-01,M1_reserves,595.0354838709678,73.4,209.6,521.6354838709678,,5.092712705074397,,1,3.055627623044638
2007-04-01,M1_reserves,426.55,76.8,219.1,349.75,,1.0133085442372802,,1,0.6079851265423681
2007-05-01,M1_reserves,430.23225806451615,81.7,229.9,348.53225806451616,,0.9979038836378147,,1,0.5987423301826887
2007-06-01,M1_reserves,470.68,90.0,244.8,380.68,,1.587015670124708,,1,0.9522094020748247
2007-07-01,M1_reserves,480.4548387096775,112.9,317.7,367.5548387096775,,1.038634453013637,,1,0.6231806718081823
2007-08-01,M1_reserves,445.3854838709677,118.9,311.0,326.48548387096764,,0.05614093345154244,,1,0.03368456007092546
2007-09-01,M1_reserves,466.82166666666666,118.6,318.8,348.2216666666667,,0.547354456075923,,1,0.3284126736455538
2007-10-01,M1_reserves,491.0822580645161,96.8,260.5,394.2822580645161,,1.814407981114072,,1,1.0886447886684432
2007-11-01,M1_reserves,510.56666666666655,122.5,222.8,388.06666666666655,,1.6364631897641493,,1,0.9818779138584895
2007-12-01,M1_reserves,704.7806451612904,124.1,220.7,580.6806451612904,,7.036732995124261,,1,4.222039797074556
2008-01-01,M1_reserves,673.1822580645161,130.8,234.0,542.382258064516,,5.061717702479975,,1,3.037030621487985
2008-02-01,M1_reserves,521.343103448276,178.5,316.5,342.843103448276,,0.2592799350975912,,1,0.1555679610585547
2008-03-01,M1_reserves,556.333870967742,225.9,339.3,330.433870967742,,-0.09881840989167533,,1,0.0
2008-04-01,M1_reserves,550.2016666666669,227.9,345.7,322.30166666666696,,-0.35138123568712804,,1,0.0
2008-05-01,M1_reserves,580.0983870967742,239.2,350.4,340.89838709677423,,0.11498046434743447,,1,0.06898827860846068
2008-06-01,M1_reserves,607.4316666666667,243.2,360.3,364.23166666666674,,0.7393631097111164,,1,0.44361786582666984
2008-07-01,M1_reserves,606.109677419355,312.6,388.0,293.50967741935494,,-1.599057073123925,,1,0.0
2008-08-01,M1_reserves,618.6161290322582,319.6,397.7,299.01612903225816,,-1.4169864367566527,,1,0.0
2008-09-01,M1_reserves,731.9016666666668,150.4,151.8,581.5016666666668,,7.878397455984786,,1,4.727038473590871
2008-10-01,M1_reserves,581.0548387096775,42.1,34.1,538.9548387096775,,6.63387171375181,,1,3.9803230282510857
2008-11-01,M1_reserves,590.0933333333335,37.6,30.0,552.4933333333335,,7.024041183326839,,1,4.214424709996103
2008-12-01,M1_reserves,644.1112903225807,37.5,29.8,606.6112903225807,,8.099180918736854,,1,4.859508551242112
2009-01-01,M1_reserves,681.2741935483872,37.0,29.4,644.2741935483872,,8.220196181664098,,1,4.932117708998459
2009-02-01,M1_reserves,413.475,39.1,31.1,374.375,,0.8560032390790502,,1,0.51360194344743
2009-03-01,M1_reserves,397.4209677419355,41.8,33.3,355.6209677419355,,0.10056758058530019,,1,0.06034054835118011
2009-04-01,M1_reserves,388.2766666666668,40.9,32.5,347.37666666666684,,-0.1959171364003355,,1,0.0
2009-05-01,M1_reserves,400.1758064516129,39.8,31.5,360.3758064516129,,0.08250230883326977,,1,0.04950138529996186
2009-06-01,M1_reserves,419.2733333333334,78.8,61.8,340.4733333333334,,-0.6081625418621781,,1,0.0
2009-07-01,M1_reserves,406.241935483871,121.7,93.2,284.541935483871,,-2.3345492923892,,1,0.0
2009-08-01,M1_reserves,465.2096774193549,163.2,125.3,302.0096774193549,,-1.6521113466643453,,1,0.0
2009-09-01,M1_reserves,501.8866666666668,199.9,153.9,301.9866666666668,,-1.5283598055105319,,1,0.0
2009-10-01,M1_reserves,535.8499999999999,199.7,154.0,336.1499999999999,,-0.5028657757460024,,1,0.0
2009-11-01,M1_reserves,561.63,195.4,151.4,366.23,,0.2673418251979647,,1,0.1604050951187788
2009-12-01,M1_reserves,713.198387096774,195.0,151.4,518.198387096774,,5.202888048820942,,1,3.121732829292565
2010-01-01,M1_reserves,528.7338709677418,200.3,156.5,328.4338709677418,3.9739999999999998,-0.8949840181425356,,1,0.0
2010-02-01,M1_reserves,476.2196428571429,203.5,159.1,272.7196428571429,3.6484210526315786,-2.7395725930450876,,1,0.0
2010-03-01,M1_reserves,510.7193548387097,197.1,167.7,313.6193548387097,3.450909090909091,-1.2169506104507453,,1,0.0
2010-04-01,M1_reserves,500.5516666666666,185.6,183.1,314.9516666666666,3.222727272727273,-1.0170741901947353,,1,0.0
2010-05-01,M1_reserves,504.333870967742,205.3,170.4,299.03387096774196,2.6473684210526316,-1.4543640485902696,,1,0.0
2010-06-01,M1_reserves,572.0433333333334,206.8,175.5,365.2433333333334,2.432380952380952,0.5205092130635197,,1,0.31230552783811183
2010-07-01,M1_reserves,494.3,207.8,180.8,286.5,2.5904545454545453,-1.5745332804739869,,1,0.0
2010-08-01,M1_reserves,491.0451612903224,217.3,179.3,273.7451612903224,2.54,-1.6585456774942504,,1,0.0
2010-09-01,M1_reserves,502.83,219.8,182.2,283.03,2.540909090909091,-1.4226321917758198,,1,0.0
2010-10-01,M1_reserves,511.6387096774194,225.7,186.2,285.9387096774194,2.646190476190476,-1.3626968174652674,,1,0.0
2010-11-01,M1_reserves,523.14,227.5,185.7,295.64,2.9819047619047616,-1.1288383259423214,,1,0.0
2010-12-01,M1_reserves,755.3887096774195,233.1,188.4,522.2887096774194,4.562173913043479,4.866937559912742,,1,2.9201625359476453
2011-01-01,M1_reserves,561.3758064516129,246.0,192.0,315.3758064516129,2.6386666666666665,-0.533248843059315,,1,0.0
2011-02-01,M1_reserves,525.2107142857143,250.6,195.2,274.61071428571427,2.741578947368421,-1.5529042816514342,,1,0.0
2011-03-01,M1_reserves,552.2822580645161,304.0,244.1,248.2822580645161,3.0177272727272726,-1.9833747057875561,,1,0.0
