date,M1_signal,M2_signal,M3_signal,M5_signal,Seasonal_Factor,Tax_Week_Flag,M1_contribution,M2_contribution,M3_contribution,M5_contribution,LSI_raw,LSI_adjusted,LSI,LSI_status,M1_share,M2_share,M3_share,M5_share
2022-01-01,1.3364414555234485,0.0,0.0,0.0,1.0741935483870966,0.3548387096774194,0.3341103638808621,0.0,0.0,0.0,0.3341103638808621,0.3588991973300873,58.877393467942284,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2022-02-01,1.0931699250417772,0.1,0.0,0.0,1.0892857142857142,0.42857142857142855,0.2732924812604443,0.03,0.0,0.0,0.3032924812604443,0.33037216708726963,58.184992807079034,ЖЁЛТЫЙ,0.9010855795853433,0.09891442041465678,0.0,0.0
2022-03-01,11.22716913808508,0.1,0.0,0.0,1.1225806451612903,0.5806451612903226,2.80679228452127,0.03,0.0,0.0,2.8367922845212696,3.1845281129464573,96.0247873376901,КРАСНЫЙ,0.9894246751291265,0.010575324870873558,0.0,0.0
2022-04-01,6.580415456687154,0.1,0.0,0.0,1.0966666666666667,0.4666666666666667,1.6451038641717886,0.03,0.0,0.0,1.6751038641717886,1.837030571041728,86.25971396564006,КРАСНЫЙ,0.9820906627692411,0.01790933723075895,0.0,0.0
2022-05-01,5.337678022463329,0.0,0.0,0.0,1.1064516129032258,0.5161290322580645,1.3344195056158323,0.0,0.0,0.0,1.3344195056158323,1.476470614278163,81.4038895878715,КРАСНЫЙ,1.0,0.0,0.0,0.0
2022-06-01,3.5955670058439617,0.1,0.0,0.0,1.1,0.4666666666666667,0.8988917514609904,0.03,0.0,0.0,0.9288917514609905,1.0217809266070896,73.53193571813078,КРАСНЫЙ,0.9677034488111074,0.03229655118889262,0.0,0.0
2022-07-01,3.344606367103034,0.0,0.0,0.0,1.1064516129032258,0.5161290322580645,0.8361515917757585,0.0,0.0,0.0,0.8361515917757585,0.9251612773518876,71.60925832883933,КРАСНЫЙ,1.0,0.0,0.0,0.0
2022-08-01,2.140354891599544,0.0,0.0,0.0,1.1,0.4838709677419355,0.535088722899886,0.0,0.0,0.0,0.535088722899886,0.5885975951898746,64.30433042548971,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2022-09-01,1.832771409939269,0.0,0.0,0.0,1.1,0.4666666666666667,0.4581928524848172,0.0,0.0,0.0,0.4581928524848172,0.504012137733299,62.340173417395114,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
2022-10-01,0.7846326877121053,0.0,0.0,0.0,1.1064516129032258,0.5161290322580645,0.19615817192802631,0.0,0.0,0.0,0.19615817192802631,0.217039525713913,55.404788215093326,ЖЁЛТЫЙ,1.0,0.0,0.0,0.0
